x_clean,y_clean,z_clean,x_data,y_data,z_data,x_odr,y_odr,z_odr
-8.0,8.0,27.0,-11.164049612555555,4.028336323963998,24.284888910900573,-11.22899423298422,4.042497053035002,24.279688505405424
-6.486403045606766,7.803170522369112,25.72552262089418,-4.648773341475473,6.4150783391442765,27.817933704312512,-4.074246873685797,6.28676325288013,27.90936862945356
-5.138017675952549,7.562589004321853,24.608810742027227,-2.2254653510779896,7.588383364749421,25.804696734706795,-5.150170014040784,8.267174942207888,25.206383305626
-3.9415062082175427,7.312988369075868,23.628928496670476,-5.529154143794382,8.424609554040517,22.187735951074668,-4.814356634659273,7.717501290181652,23.922401281964703
-2.882048155330657,7.078171712423252,22.765710683787596,-2.9023862484128355,7.342194303378494,21.007075604367994,-3.4565992413581332,7.920151107784335,22.77488783629367
-1.9443799153261465,6.87385318093341,22.001250091906996,-1.998791501944683,6.829544574890008,24.033624494046702,-2.6777435323146648,7.121436846719027,22.114357631803692
-1.1134914463055734,6.709948368576879,21.320459796457534,1.359972576066461,9.503343803848113,20.386808010445865,-1.5215746689827427,7.3841810781907835,21.220590964840234
-0.37506514189324036,6.592327519744762,20.71111450694134,-3.716577345423634,8.886933208208248,24.28879455927817,-0.9447989938812389,6.69818424095884,20.752911406785458
0.28427102578815194,6.524111266523393,20.163630824952268,2.2868844798164236,9.251566630505529,22.608197281938004,-0.008309422340697627,7.066824467940516,19.99797164055952
0.8768194802144929,6.50660382239039,19.670742729458727,-0.548401532324196,7.702092999128803,17.38019430983753,0.42801498375650765,6.509041088455412,19.67707122992801
1.413775661663168,6.539950624350338,19.22715989653236,-3.9108371165352382,4.555285821772559,19.083188354289778,1.2005991273443042,6.984874320102267,19.01840873808493
1.9052464019493096,6.623591506532153,18.829253486427646,1.62635453884279,7.531514641387783,18.991495128534883,1.5482181048019823,6.55685336855531,18.82050687395491
2.3603020481799293,6.756563842867041,18.474788514609607,3.1769382789735037,6.809389003842995,17.43867269788803,2.2010057550694717,7.133875632324034,18.23451407002845
2.7870468831867408,6.937695627173658,18.16270756737519,6.379116366161723,9.201187166895267,15.797259197672288,2.5016522080893075,6.831099644507695,18.150375409508523
3.192697083280001,7.165716933619887,17.892963056944065,3.942785346266138,8.660436547280524,16.289868864301752,3.069708166874584,7.50127759473251,17.62708467816783
3.5836587411846144,7.4393094550015455,17.666391569947088,3.1658993414820427,12.743991989311422,17.96756550209261,3.3567413717948944,7.3175452649334725,17.65761024294808
3.9656007396843584,7.757107372830078,17.48462234006773,2.8158312302181194,7.669601820096399,16.533970929055865,3.8674537081074107,8.073021512517055,17.196845484877077
4.3435187818302925,8.117658167159393,17.35001136345257,3.2988049051984127,10.90555634794463,18.35178311314706,4.167317263012304,8.001840149523359,17.35034903100558
4.721787886738508,8.519348709448822,17.265592513858977,-0.22465638135383958,12.334126200413406,14.97183363514722,4.641710220610908,8.834870088701175,16.95960555844014
5.1042013115261655,8.960299806050758,17.235036821971363,5.333407414435008,6.332962004048648,21.870321790132444,4.975153918630882,8.86904756293616,17.250337610641008
5.493994287804721,9.43823110462784,17.262610655485844,3.7618818736284867,10.659722298960183,13.846825646768547,5.428869201449054,9.770476101920028,16.943716046486514
5.893851270691965,9.950297884834702,17.353122790189527,9.266958989492524,8.982323088552294,18.450743960239418,5.811709066541235,9.90047663991208,17.390934055871394
6.305895684298598,10.492901768584234,17.511849312773656,1.6265299394185,10.386852033465047,23.636248724534134,6.255495193063179,10.857055783322041,17.188411404972655
6.731661503636955,11.061478922124824,17.7444240598343,10.243133744138582,7.409215434788775,22.33671093928347,6.698783510332051,11.068332319238888,17.815266121836885
7.172046537420051,11.650272049285602,18.056681112167354,6.570250849977958,10.739628112417577,16.16654586034297,7.138401328742216,12.059016240149433,17.741524851015633
7.627248075011394,12.252096564448095,18.454435120415877,1.2141013422493856,12.122101944185086,16.93672007777581,7.647927570581101,12.328499657766267,18.572928090585176
8.096682743327648,12.85811688949053,18.94318551612143,6.892141547519494,13.158435294591799,14.581805997488772,8.083432056422847,13.320002580448266,18.6548157020548
8.578894087271925,13.457655768926562,19.52773274574708,10.167299612031004,12.376216435765784,15.177179505561831,8.658542231127512,13.612223397183083,19.71331088309182
9.071453610744694,14.038067441775073,20.211699520396998,5.704133601701657,14.763206986111951,17.713602109997296,9.082999257359555,14.554650132842022,19.974878600579693
9.570863796906552,14.584713535672575,20.996958743906664,12.850524830847752,17.122458896627045,16.114443463193318,9.714869089394831,14.818658149248614,21.27355684447688
10.072474849362894,15.081087053407579,21.88298315724405,10.72264722293667,15.11087318754488,18.244760722207385,10.112772704848984,15.64296573215176,21.72782758823719
10.570430263558846,15.50913240184833,22.86615016494297,8.89493930773247,16.715708021566886,21.984922126929348,10.782557790434025,15.812250980746263,23.25993161219038
11.057659316826363,15.849804962058975,23.939058044112866,6.702725984423645,11.03546177502863,24.219510257764753,11.12856792636655,16.432458455635366,23.89757971897811
11.525936360486288,16.083898853454205,25.089934317405103,17.25112577006383,18.718180628641846,21.45205904217886,11.806288090367262,16.430989239127225,25.624150715426236
11.966026391109526,16.193143612335284,26.302238838400328,15.265418863652549,16.098715378962535,24.863209052993106,12.065353489508617,16.75457853727532,26.401601446746263
12.367932682444222,16.161528886583746,27.554576243972903,22.27832511415525,16.823319492780975,30.872506597470267,12.710802452175738,16.511650458033987,28.241505599269605
12.721254401534072,15.976764090103446,28.82102676967273,9.149084051826373,17.61134250146974,30.37324015439189,12.841004776864361,16.459900871201164,29.074217960896558
13.015649857685533,15.631725418383676,30.071973787046886,15.597731323597504,16.170678842656855,31.746348607610045,13.40801438018951,15.933109172000224,30.90388318360778
13.241385134731171,15.125698806340713,31.27544769064594,10.332475712950298,19.105800176292526,29.67823415978197,13.367071966906652,15.467837306823007,31.672514934082685
13.389930458399437,14.465210093908642,32.39892330028782,14.544408214334702,15.03176766469363,37.65286254409673,13.81156521190301,14.666922457489328,33.34239752591987
13.454551121156593,13.66425659540111,33.41141551310581,12.411120718973873,7.598749312569225,31.845656412578347,13.566450243771587,13.812748910901794,33.91635512945043
13.430830138257367,12.743823055801823,34.28563735378734,12.446288804655774,14.161544710358681,36.46575720006055,13.856739834302715,12.811154288808943,35.28415822168048
13.317059597387907,11.730672113143566,34.99994019350861,15.752249797022495,8.667831835674797,39.740138894847604,13.39364101130114,11.659093616764867,35.55716359228934
13.114448701112313,10.65552336750108,35.53976612639643,12.87631551985673,11.00586929629126,35.83278175459832,13.519305282541433,10.58199784531433,36.52598499559967
12.827117881514878,9.55084551072648,35.898411505646585,17.38912434421998,12.69752230023276,37.2782513448762,12.84972579232699,9.267464413290625,36.44755212600995
12.461876326993847,8.448553156124316,36.07701474211635,11.947398598693267,10.291838371479082,35.91881514922127,12.82496181502743,8.257727394899844,36.99003050244288
12.027809077070794,7.377906199118902,36.083812437571304,14.580426386631904,5.270731397232222,34.282624376787865,11.984769924711701,6.921660682262623,36.57595406296843
11.53572349681249,6.363855230656134,35.9328226488569,16.54944820489495,8.046012496606744,34.05846686626507,11.844426638899277,6.099874562313284,36.73210398728952
10.997518926918495,5.4259797388384605,35.642186117532326,13.218335320506347,11.139776208338166,35.82459650145179,10.88604611688585,4.852600482525972,36.049690641515845
10.425545812807002,4.578054561991149,35.23241412754398,7.944486561388364,2.999693204805709,35.33115531230119,10.676225980806567,4.2906498462500045,35.90247827962274
9.832012735478019,3.8281818471482105,34.7247603067622,8.419987982129484,-1.618486256714752,32.18954286009763,9.657469725086486,3.1942028245600693,35.04164890404553
9.228484724957784,3.1793592703265996,34.139870116816674,7.586933126144029,0.39538413542099615,34.06514888655895,9.424900221243904,2.9108857183217443,34.6860071516297
8.625498133434105,2.6303267317702725,33.49678705939743,7.195949064678636,2.0982579985257996,30.305775761265814,8.398836552161326,1.981798418157477,33.732394875925536
8.032299930365149,2.176538542409521,32.812326840122054,5.07967080464859,4.384855160912764,35.72587563981553,8.182766534114423,1.9553432653013658,33.25200725858614
7.456705165240358,1.8111353620338464,32.100780899732584,8.585948359266368,0.7835952682393297,27.65040423346423,7.191391589921119,1.17926332698226,32.27164385798186
6.905056748216793,1.525827586862281,31.37388228090516,8.580829798518955,-2.724447859965423,33.05666968630782,7.019590107790796,1.3657378040525414,31.728591957666456
6.382266651663036,1.3116394631203354,30.64095745390898,4.2617295339240595,-2.0044657341602226,32.399989106795246,6.091719757875704,0.7137340064297013,30.76448894108005
5.891916381065048,1.1594946167806361,29.909192185881384,4.427385778278365,1.278696576159457,27.614555759298682,5.980113187969818,1.0628587730853287,30.19906708018086
5.436396000211457,1.0606462904791432,29.183951921991184,3.5381548567401886,4.257449911171161,31.731767960793743,5.132361507496684,0.5035724976831454,29.27499592594797
5.017064013790645,1.0069694073476716,28.469112491722456,14.344589918519725,-1.9686234294512694,31.072218997235098,5.086908876006101,0.9687013558360824,28.71049297998267
4.634414092433554,0.9911381845974917,27.767371843435242,5.071126359940681,2.5702333956442764,23.321445228148683,4.326234719183802,0.47510536015281096,27.83709694172505
